ticker,base_date,base_price,doubled_date,doubled_price,multiple
MIRCELECTR,2023-07-04,18.95,2026-05-07,39.75,2.1
KIRIINDUS,2023-07-04,281.6,2024-11-21,590.85,2.1
COMPUSOFT,2023-07-04,18.9,2023-11-28,39.65,2.1
TIMESGTY,2023-07-04,56.15,2023-12-19,117.95,2.1
ALANKIT,2023-07-04,11.3,2024-07-01,23.69,2.1
DOLPHIN,2023-09-04,195.05,2025-01-27,408.7,2.1
BALUFORGE,2024-04-29,275.5,2024-08-08,577.55,2.1
AHL,2023-07-04,274.65,2024-08-01,576.2,2.1
SASKEN,2023-07-04,973.9,2024-11-14,2048.05,2.1
FIBERWEB,2023-07-04,29.95,2024-12-02,62.85,2.1
TIMETECHNO,2023-07-04,118.95,2024-03-26,250.0,2.1
NDRAUTO,2024-02-19,781.7,2024-08-26,1639.1,2.1
CEATLTD,2023-07-04,2002.0,2025-10-20,4203.9,2.1
HERITGFOOD,2023-07-04,216.7,2024-06-04,455.45,2.1
CURAA,2025-04-08,39.94,2026-06-08,84.0,2.1
NETWORK18,2023-07-04,62.45,2024-01-11,130.95,2.1
SUPRIYA,2023-07-04,243.5,2024-08-12,512.4,2.1
ASTRAZEN,2023-07-04,3748.25,2024-09-24,7878.25,2.1
KIOCL,2023-07-04,189.85,2023-10-16,397.0,2.09
SUNDRMBRAK,2023-07-04,359.55,2024-02-21,752.1,2.09
SOUTHBANK,2023-07-04,19.7,2025-11-19,41.08,2.09
PROZONER,2023-08-04,25.6,2025-09-30,53.47,2.09
NITTAGELA,2026-04-20,863.2,2026-06-03,1806.2,2.09
SRM,2024-04-19,199.8,2025-01-03,418.15,2.09
RELIANCE,2023-07-04,627.42,2024-10-28,1311.6,2.09
FMNL,2023-07-04,4.7,2024-01-17,9.8,2.09
STERTOOLS,2023-07-04,351.65,2024-12-02,736.55,2.09
TI,2023-07-04,154.7,2024-09-10,323.25,2.09
GODREJIND,2023-07-04,508.75,2024-09-02,1061.65,2.09
GUJAPOLLO,2023-07-04,191.85,2024-08-26,400.25,2.09
NIITLTD,2023-07-04,84.15,2024-08-27,175.55,2.09
HUDCO,2023-07-04,47.14,2023-12-14,98.46,2.09
SANSERA,2023-07-04,894.05,2026-01-02,1871.0,2.09
TEXRAIL,2023-07-04,75.85,2023-09-04,158.55,2.09
MANGCHEFER,2023-07-04,106.4,2025-04-28,222.31,2.09
CPPLUS,2025-08-05,1082.65,2026-04-17,2264.3,2.09
INDSWFTLAB,2023-07-04,89.7,2026-06-19,187.38,2.09
PVP,2023-10-03,11.1,2024-02-05,23.25,2.09
RANEENGINE,2023-10-30,308.1,2024-08-23,642.95,2.09
ARIHANTSUP,2023-07-04,175.6,2024-01-23,367.05,2.09
SUNDARMHLD,2023-07-04,95.95,2024-02-20,200.35,2.09
AVALON,2023-07-04,600.65,2025-10-07,1252.8,2.09
URAVI,2023-07-05,277.4,2024-08-01,579.95,2.09
PARSVNATH,2023-07-04,8.35,2024-08-02,17.43,2.09
SBIN,2023-07-04,528.53,2026-02-09,1105.78,2.09
MBLINFRA,2023-10-23,32.0,2024-06-26,66.9,2.09
KCPSUGIND,2023-07-04,24.55,2024-02-06,51.4,2.09
SOUTHWEST,2023-09-25,128.6,2026-05-27,269.13,2.09
PANSARI,2023-07-04,87.45,2024-11-07,182.47,2.09
GREENPOWER,2023-07-04,11.7,2023-12-05,24.4,2.09
ZENTEC,2023-07-04,413.49,2023-08-16,864.12,2.09
TORNTPHARM,2023-07-04,1772.28,2025-07-29,3702.22,2.09
UFBL,2025-10-13,230.32,2026-05-21,480.95,2.09
KHAITANLTD,2023-07-04,50.25,2024-08-16,104.98,2.09
BROOKS,2023-07-04,77.75,2023-12-26,162.5,2.09
CENTURYTEX,2023-07-04,878.3,2024-04-09,1831.8,2.09
ETHOSLTD,2023-07-04,1486.55,2024-08-01,3110.2,2.09
GILLANDERS,2023-07-04,69.65,2024-01-18,145.55,2.09
RPGLIFE,2023-07-04,944.2,2024-08-01,1977.5,2.09
VIJIFIN,2023-07-04,1.8,2024-11-11,3.76,2.09
BHARATFORG,2023-07-04,798.39,2024-06-14,1666.5,2.09
EMUDHRA,2023-07-04,411.55,2024-06-11,859.25,2.09
HEXATRADEX,2023-07-04,146.15,2024-08-28,305.74,2.09
PROSTARM,2025-06-17,114.42,2025-07-29,239.61,2.09
INNOVACAP,2023-12-29,541.4,2024-12-02,1125.4,2.08
POCL,2023-07-04,409.75,2024-01-12,851.65,2.08
AARON,2023-07-04,219.7,2025-07-25,456.9,2.08
NLCINDIA,2023-07-04,100.59,2023-12-22,209.7,2.08
JISLDVREQS,2023-07-04,20.65,2024-06-20,43.02,2.08
SCI,2023-07-04,89.91,2024-01-25,186.74,2.08
PFS,2023-07-04,19.8,2023-12-13,41.25,2.08
RAMCOSYS,2023-07-04,263.6,2025-09-18,548.9,2.08
NESCO,2023-07-04,620.05,2025-07-15,1292.2,2.08
KINGFA,2023-07-04,1992.6,2025-08-18,4145.3,2.08
RVHL,2023-07-04,25.55,2023-12-27,53.2,2.08
ROSSTECH,2024-12-23,469.1,2026-04-15,978.0,2.08
SOLARINDS,2023-07-04,3727.1,2024-03-05,7760.15,2.08
QPOWER,2025-02-24,387.9,2025-07-10,808.45,2.08
RPOWER,2023-07-04,14.65,2024-01-04,30.4,2.08
EMKAY,2023-07-04,73.95,2024-04-09,153.8,2.08
SARLAPOLY,2023-07-04,47.35,2024-06-12,98.49,2.08
PRAKASHSTL,2023-07-04,4.45,2023-12-26,9.25,2.08
RKDL,2023-08-09,11.9,2024-04-25,24.75,2.08
BURNPUR,2023-07-04,4.4,2024-06-27,9.15,2.08
JAYNECOIND,2023-07-04,22.8,2023-11-20,47.45,2.08
VERTOZ,2023-09-25,281.1,2024-01-08,584.8,2.08
VIKASLIFE,2023-07-04,3.1,2023-09-11,6.45,2.08
KIRLPNU,2023-07-04,669.9,2024-06-13,1392.51,2.08
MSUMI,2023-07-04,25.06,2026-01-05,52.05,2.08
TFL,2023-07-04,9.45,2025-07-03,19.61,2.08
INDOAMIN,2023-07-04,116.45,2024-09-16,242.74,2.08
QUICKHEAL,2023-07-04,162.75,2023-10-09,337.9,2.08
ORIENTALTL,2023-07-04,6.2,2024-02-19,12.9,2.08
PAKKA,2023-07-11,125.05,2023-10-11,260.5,2.08
ADSL,2023-07-04,111.25,2024-07-03,231.12,2.08
IFBAGRO,2023-07-04,538.6,2025-10-21,1122.35,2.08
ANUP,2023-07-04,1724.9,2024-04-22,3596.4,2.08
SETCO,2024-03-18,7.1,2024-12-09,14.78,2.08
INDHOTEL,2023-07-04,372.92,2024-11-21,775.27,2.08
BIL,2023-10-23,240.95,2024-08-29,500.6,2.08
NACLIND,2023-07-04,95.8,2025-04-21,199.24,2.08
CTE,2023-10-09,59.5,2024-03-06,123.6,2.08
KDDL,2023-07-04,1380.5,2023-11-15,2871.65,2.08
DCAL,2023-07-04,140.6,2024-12-10,292.24,2.08
GREAVESCOT,2023-07-04,135.4,2024-12-27,281.83,2.08
IFCI,2023-07-04,11.9,2023-09-26,24.7,2.08
INDIACEM,2023-07-04,212.05,2025-12-17,441.05,2.08
TRENT,2023-07-04,767.05,2024-02-07,1593.65,2.08
CYBERTECH,2023-09-25,138.45,2024-09-02,288.1,2.08
UNIONBANK,2023-07-04,67.26,2024-03-05,139.37,2.07
RADAAN,2023-08-14,1.5,2024-09-20,3.1,2.07
TITAGARH,2023-07-04,513.62,2023-12-11,1062.67,2.07
ASTERDM,2023-07-04,187.65,2024-04-23,388.06,2.07
SREEL,2023-07-04,194.2,2023-12-27,401.45,2.07
MANGLMCEM,2023-07-04,303.75,2023-12-15,627.5,2.07
PRESTIGE,2023-07-04,570.21,2023-12-08,1181.46,2.07
NCC,2023-07-04,113.6,2024-02-22,235.01,2.07
NILASPACES,2023-07-04,3.55,2024-04-03,7.35,2.07
EIFFL,2023-07-04,168.6,2026-06-18,349.71,2.07
GLFL,2023-07-04,2.85,2024-01-09,5.9,2.07
RAMKY,2023-07-04,387.0,2023-12-19,802.9,2.07
SHAHALLOYS,2023-07-04,48.0,2024-09-24,99.21,2.07
TBZ,2023-07-04,82.25,2024-08-07,170.07,2.07
APOLLO,2023-07-04,49.8,2023-11-06,103.2,2.07
