ticker,base_date,base_price,tripled_date,tripled_price,multiple
INSPIRISYS,2023-10-03,60.0,2024-08-01,185.73,3.1
WINDMACHIN,2023-11-13,88.1,2024-11-13,273.19,3.1
DHANBANK,2023-07-04,18.25,2024-01-30,56.4,3.09
INDRAMEDCO,2024-03-11,175.4,2025-01-01,541.75,3.09
BGRENERGY,2023-07-04,58.7,2025-08-25,181.33,3.09
PPLPHARMA,2023-07-04,91.01,2024-11-01,281.58,3.09
MMTC,2023-07-04,31.9,2024-02-06,98.7,3.09
PRECWIRE,2023-07-04,88.15,2025-11-13,272.43,3.09
IOB,2023-07-04,25.75,2024-02-07,79.65,3.09
KITEX,2023-07-04,189.15,2024-10-31,584.1,3.09
LALPATHLAB,2023-07-04,531.25,2026-05-08,1641.86,3.09
KAYNES,2023-07-04,1576.05,2024-08-14,4868.8,3.09
RAILTEL,2023-07-04,120.67,2024-01-19,372.87,3.09
KIRLPNU,2023-07-04,669.9,2026-06-22,2072.46,3.09
APOLLO,2023-07-04,49.8,2023-11-17,154.0,3.09
IRIS,2023-07-04,78.7,2025-06-17,243.4,3.09
PRIVISCL,2023-07-04,1099.7,2025-11-07,3388.0,3.08
INOXWIND,2023-07-04,10.16,2023-12-29,31.23,3.08
HITECHGEAR,2023-07-04,396.55,2024-04-22,1221.6,3.08
TECHNOE,2023-07-04,354.0,2024-05-15,1091.2,3.08
APARINDS,2023-07-04,3511.99,2024-10-15,10827.56,3.08
TRF,2023-07-04,172.35,2024-08-21,530.8,3.08
SOLARINDS,2023-07-04,3727.1,2024-07-03,11476.1,3.08
SJVN,2023-07-04,38.74,2024-01-29,119.17,3.08
ASHIMASYN,2023-07-04,13.95,2024-06-27,42.95,3.08
SALZERELEC,2023-07-04,356.6,2024-08-26,1097.2,3.08
ZEEMEDIA,2023-07-04,8.15,2024-10-01,25.1,3.08
SYRMA,2023-07-04,437.38,2026-06-18,1346.8,3.08
ANANDRATHI,2023-07-04,52.84,2023-12-04,162.79,3.08
NAVA,2023-07-04,70.74,2024-08-01,217.71,3.08
KALYANKJIL,2023-07-04,146.19,2024-06-21,450.36,3.08
AMBER,2023-07-04,2241.6,2024-12-23,6907.8,3.08
