"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 50","19 May 2014","-","-","-","2377.25"
"NIFTY SMALLCAP 50","16 May 2014","-","-","-","2248.36"
"NIFTY SMALLCAP 50","15 May 2014","-","-","-","2211.36"
"NIFTY SMALLCAP 50","14 May 2014","-","-","-","2235.86"
"NIFTY SMALLCAP 50","13 May 2014","-","-","-","2222.27"
"NIFTY SMALLCAP 50","12 May 2014","-","-","-","2165.73"
"NIFTY SMALLCAP 50","09 May 2014","-","-","-","2149.54"
"NIFTY SMALLCAP 50","08 May 2014","-","-","-","2112.16"
"NIFTY SMALLCAP 50","07 May 2014","-","-","-","2097.74"
"NIFTY SMALLCAP 50","06 May 2014","-","-","-","2103.12"
"NIFTY SMALLCAP 50","05 May 2014","-","-","-","2089.34"
"NIFTY SMALLCAP 50","02 May 2014","-","-","-","2107.60"
"NIFTY SMALLCAP 50","30 Apr 2014","-","-","-","2089.82"
"NIFTY SMALLCAP 50","29 Apr 2014","-","-","-","2136.97"
"NIFTY SMALLCAP 50","28 Apr 2014","-","-","-","2146.28"
"NIFTY SMALLCAP 50","25 Apr 2014","-","-","-","2139.91"
"NIFTY SMALLCAP 50","23 Apr 2014","-","-","-","2146.31"
"NIFTY SMALLCAP 50","22 Apr 2014","-","-","-","2142.39"
"NIFTY SMALLCAP 50","21 Apr 2014","-","-","-","2135.00"
"NIFTY SMALLCAP 50","17 Apr 2014","-","-","-","2105.69"
"NIFTY SMALLCAP 50","16 Apr 2014","-","-","-","2073.75"
"NIFTY SMALLCAP 50","15 Apr 2014","-","-","-","2108.61"
"NIFTY SMALLCAP 50","11 Apr 2014","-","-","-","2127.79"
"NIFTY SMALLCAP 50","10 Apr 2014","-","-","-","2124.89"
"NIFTY SMALLCAP 50","09 Apr 2014","-","-","-","2123.14"
"NIFTY SMALLCAP 50","07 Apr 2014","-","-","-","2078.68"
"NIFTY SMALLCAP 50","04 Apr 2014","-","-","-","2068.35"
"NIFTY SMALLCAP 50","03 Apr 2014","-","-","-","2048.38"
"NIFTY SMALLCAP 50","02 Apr 2014","-","-","-","2057.50"
"NIFTY SMALLCAP 50","01 Apr 2014","-","-","-","2016.71"
"NIFTY SMALLCAP 50","31 Mar 2014","-","-","-","2013.37"
"NIFTY SMALLCAP 50","28 Mar 2014","-","-","-","1997.81"
"NIFTY SMALLCAP 50","27 Mar 2014","-","-","-","1968.25"
"NIFTY SMALLCAP 50","26 Mar 2014","-","-","-","1955.74"
"NIFTY SMALLCAP 50","25 Mar 2014","-","-","-","1949.47"
"NIFTY SMALLCAP 50","24 Mar 2014","-","-","-","1933.54"
"NIFTY SMALLCAP 50","22 Mar 2014","-","-","-","1936.96"
"NIFTY SMALLCAP 50","21 Mar 2014","-","-","-","1925.03"
"NIFTY SMALLCAP 50","20 Mar 2014","-","-","-","1906.51"
"NIFTY SMALLCAP 50","19 Mar 2014","-","-","-","1910.55"
"NIFTY SMALLCAP 50","18 Mar 2014","-","-","-","1904.29"
"NIFTY SMALLCAP 50","14 Mar 2014","-","-","-","1863.80"
"NIFTY SMALLCAP 50","13 Mar 2014","-","-","-","1869.68"
"NIFTY SMALLCAP 50","12 Mar 2014","-","-","-","1896.15"
"NIFTY SMALLCAP 50","11 Mar 2014","-","-","-","1900.54"
"NIFTY SMALLCAP 50","10 Mar 2014","-","-","-","1902.15"
"NIFTY SMALLCAP 50","07 Mar 2014","-","-","-","1897.15"
"NIFTY SMALLCAP 50","06 Mar 2014","-","-","-","1902.76"
"NIFTY SMALLCAP 50","05 Mar 2014","-","-","-","1880.58"
"NIFTY SMALLCAP 50","04 Mar 2014","-","-","-","1876.56"
"NIFTY SMALLCAP 50","03 Mar 2014","-","-","-","1851.33"
"NIFTY SMALLCAP 50","28 Feb 2014","-","-","-","1848.77"
"NIFTY SMALLCAP 50","26 Feb 2014","-","-","-","1843.88"
"NIFTY SMALLCAP 50","25 Feb 2014","-","-","-","1832.23"
"NIFTY SMALLCAP 50","24 Feb 2014","-","-","-","1822.52"
"NIFTY SMALLCAP 50","21 Feb 2014","-","-","-","1828.27"
"NIFTY SMALLCAP 50","20 Feb 2014","-","-","-","1812.06"
"NIFTY SMALLCAP 50","19 Feb 2014","-","-","-","1815.86"
"NIFTY SMALLCAP 50","18 Feb 2014","-","-","-","1796.21"
"NIFTY SMALLCAP 50","17 Feb 2014","-","-","-","1759.16"
"NIFTY SMALLCAP 50","14 Feb 2014","-","-","-","1756.10"
"NIFTY SMALLCAP 50","13 Feb 2014","-","-","-","1754.91"
"NIFTY SMALLCAP 50","12 Feb 2014","-","-","-","1775.48"
"NIFTY SMALLCAP 50","11 Feb 2014","-","-","-","1769.96"
"NIFTY SMALLCAP 50","10 Feb 2014","-","-","-","1753.77"
"NIFTY SMALLCAP 50","07 Feb 2014","-","-","-","1765.43"
"NIFTY SMALLCAP 50","06 Feb 2014","-","-","-","1754.51"
"NIFTY SMALLCAP 50","05 Feb 2014","-","-","-","1761.07"
"NIFTY SMALLCAP 50","04 Feb 2014","-","-","-","1746.80"
"NIFTY SMALLCAP 50","03 Feb 2014","-","-","-","1736.91"
"NIFTY SMALLCAP 50","31 Jan 2014","-","-","-","1759.27"
"NIFTY SMALLCAP 50","30 Jan 2014","-","-","-","1714.36"
"NIFTY SMALLCAP 50","29 Jan 2014","-","-","-","1742.75"
"NIFTY SMALLCAP 50","28 Jan 2014","-","-","-","1737.07"
"NIFTY SMALLCAP 50","27 Jan 2014","-","-","-","1728.30"
"NIFTY SMALLCAP 50","24 Jan 2014","-","-","-","1793.14"
"NIFTY SMALLCAP 50","23 Jan 2014","-","-","-","1834.38"
"NIFTY SMALLCAP 50","22 Jan 2014","-","-","-","1857.10"
"NIFTY SMALLCAP 50","21 Jan 2014","-","-","-","1851.52"
"NIFTY SMALLCAP 50","20 Jan 2014","-","-","-","1824.69"
"NIFTY SMALLCAP 50","17 Jan 2014","-","-","-","1798.60"
"NIFTY SMALLCAP 50","16 Jan 2014","-","-","-","1841.14"
"NIFTY SMALLCAP 50","15 Jan 2014","-","-","-","1851.53"
"NIFTY SMALLCAP 50","14 Jan 2014","-","-","-","1850.28"
"NIFTY SMALLCAP 50","13 Jan 2014","-","-","-","1855.59"
"NIFTY SMALLCAP 50","10 Jan 2014","-","-","-","1844.48"
"NIFTY SMALLCAP 50","09 Jan 2014","-","-","-","1855.81"
"NIFTY SMALLCAP 50","08 Jan 2014","-","-","-","1860.99"
"NIFTY SMALLCAP 50","07 Jan 2014","-","-","-","1854.98"
"NIFTY SMALLCAP 50","06 Jan 2014","-","-","-","1862.39"
"NIFTY SMALLCAP 50","03 Jan 2014","-","-","-","1833.43"
"NIFTY SMALLCAP 50","02 Jan 2014","-","-","-","1809.02"
"NIFTY SMALLCAP 50","01 Jan 2014","-","-","-","1853.62"
