"Index Name","Date","Open","High","Low","Close"
"NIFTY NEXT 50","28 Apr 2015","18756.35","19143.60","18676.25","19120.25"
"NIFTY NEXT 50","27 Apr 2015","19191.55","19212.95","18744.05","18805.30"
"NIFTY NEXT 50","24 Apr 2015","19487.30","19488.50","19093.60","19161.15"
"NIFTY NEXT 50","23 Apr 2015","19493.35","19602.25","19397.00","19446.85"
"NIFTY NEXT 50","22 Apr 2015","19456.00","19479.00","19116.45","19384.35"
"NIFTY NEXT 50","21 Apr 2015","19545.15","19583.30","19317.60","19372.90"
"NIFTY NEXT 50","20 Apr 2015","19951.60","19951.70","19354.90","19500.05"
"NIFTY NEXT 50","17 Apr 2015","20210.60","20222.00","19861.65","19898.90"
"NIFTY NEXT 50","16 Apr 2015","20381.85","20403.85","20020.65","20202.45"
"NIFTY NEXT 50","15 Apr 2015","20560.30","20611.60","20271.65","20336.05"
"NIFTY NEXT 50","13 Apr 2015","20399.05","20520.65","20356.10","20503.75"
"NIFTY NEXT 50","10 Apr 2015","20226.65","20382.60","20188.80","20342.85"
"NIFTY NEXT 50","09 Apr 2015","20304.35","20307.40","20069.35","20207.15"
"NIFTY NEXT 50","08 Apr 2015","20136.50","20235.55","20084.20","20180.65"
"NIFTY NEXT 50","07 Apr 2015","19885.35","20059.20","19759.00","20027.75"
"NIFTY NEXT 50","06 Apr 2015","19729.75","19848.95","19635.35","19819.75"
"NIFTY NEXT 50","01 Apr 2015","19445.80","19670.85","19387.50","19634.30"
"NIFTY NEXT 50","31 Mar 2015","19510.20","19588.05","19347.80","19441.70"
"NIFTY NEXT 50","30 Mar 2015","19242.55","19422.60","19242.55","19407.75"
"NIFTY NEXT 50","27 Mar 2015","19243.60","19243.60","18757.40","19109.20"
"NIFTY NEXT 50","26 Mar 2015","19276.40","19301.20","19086.05","19112.05"
"NIFTY NEXT 50","25 Mar 2015","19394.50","19415.20","19310.10","19344.05"
"NIFTY NEXT 50","24 Mar 2015","19407.45","19469.25","19279.25","19336.45"
"NIFTY NEXT 50","23 Mar 2015","19620.60","19632.15","19369.60","19404.85"
"NIFTY NEXT 50","20 Mar 2015","19896.35","19896.35","19532.75","19576.85"
"NIFTY NEXT 50","19 Mar 2015","20104.20","20217.80","19834.60","19880.90"
"NIFTY NEXT 50","18 Mar 2015","19977.25","20061.40","19877.85","19955.70"
"NIFTY NEXT 50","17 Mar 2015","19704.30","19937.60","19704.30","19909.35"
"NIFTY NEXT 50","16 Mar 2015","19811.45","19811.85","19558.95","19608.75"
"NIFTY NEXT 50","13 Mar 2015","20176.65","20193.45","19725.40","19759.45"
"NIFTY NEXT 50","12 Mar 2015","19774.80","20070.25","19774.80","20056.00"
"NIFTY NEXT 50","11 Mar 2015","19801.35","19822.85","19644.15","19699.55"
"NIFTY NEXT 50","10 Mar 2015","19784.90","19931.80","19674.30","19751.25"
"NIFTY NEXT 50","09 Mar 2015","19899.10","19958.75","19689.50","19722.25"
"NIFTY NEXT 50","05 Mar 2015","19920.85","19999.40","19785.05","19974.75"
"NIFTY NEXT 50","04 Mar 2015","20269.25","20275.70","19813.55","19861.20"
"NIFTY NEXT 50","03 Mar 2015","19997.45","20113.55","19953.85","20095.35"
"NIFTY NEXT 50","02 Mar 2015","19839.25","19991.90","19707.85","19958.10"
"NIFTY NEXT 50","28 Feb 2015","19821.80","19822.25","19397.60","19704.35"
"NIFTY NEXT 50","27 Feb 2015","19349.50","19729.25","19349.50","19706.50"
"NIFTY NEXT 50","26 Feb 2015","19506.90","19506.90","19199.30","19280.00"
"NIFTY NEXT 50","25 Feb 2015","19617.05","19665.25","19454.80","19490.25"
"NIFTY NEXT 50","24 Feb 2015","19573.20","19577.45","19407.20","19527.20"
"NIFTY NEXT 50","23 Feb 2015","19826.75","19836.50","19493.60","19541.45"
"NIFTY NEXT 50","20 Feb 2015","19736.30","19789.10","19572.55","19696.40"
"NIFTY NEXT 50","19 Feb 2015","19760.55","19791.95","19417.05","19645.30"
"NIFTY NEXT 50","18 Feb 2015","19613.95","19684.30","19566.85","19667.60"
"NIFTY NEXT 50","16 Feb 2015","19736.95","19792.20","19505.50","19559.50"
"NIFTY NEXT 50","13 Feb 2015","19639.80","19738.55","19579.95","19661.30"
"NIFTY NEXT 50","12 Feb 2015","19418.20","19595.95","19387.05","19571.95"
"NIFTY NEXT 50","11 Feb 2015","19036.95","19324.05","19036.95","19286.70"
"NIFTY NEXT 50","10 Feb 2015","18672.75","19120.70","18638.50","18945.50"
"NIFTY NEXT 50","09 Feb 2015","18943.00","18983.45","18708.40","18742.35"
"NIFTY NEXT 50","06 Feb 2015","19216.60","19287.75","19026.05","19081.60"
"NIFTY NEXT 50","05 Feb 2015","19423.05","19495.90","19133.20","19196.15"
"NIFTY NEXT 50","04 Feb 2015","19627.85","19636.35","19350.50","19414.35"
"NIFTY NEXT 50","03 Feb 2015","19811.25","19862.80","19516.30","19552.40"
"NIFTY NEXT 50","02 Feb 2015","19572.50","19739.35","19537.30","19729.95"
"NIFTY NEXT 50","30 Jan 2015","19770.45","19834.15","19437.80","19546.45"
"NIFTY NEXT 50","29 Jan 2015","19665.35","19730.05","19586.55","19665.60"
"NIFTY NEXT 50","28 Jan 2015","19535.75","19775.70","19513.10","19681.60"
"NIFTY NEXT 50","27 Jan 2015","19502.90","19570.20","19404.75","19551.05"
"NIFTY NEXT 50","23 Jan 2015","19406.05","19477.85","19246.60","19462.25"
"NIFTY NEXT 50","22 Jan 2015","19217.45","19333.95","19142.10","19255.30"
"NIFTY NEXT 50","21 Jan 2015","19233.15","19291.30","19126.10","19216.45"
"NIFTY NEXT 50","20 Jan 2015","19193.50","19229.60","19100.50","19169.70"
"NIFTY NEXT 50","19 Jan 2015","19096.10","19222.20","19096.10","19132.35"
"NIFTY NEXT 50","16 Jan 2015","18949.10","19126.10","18876.25","19058.55"
"NIFTY NEXT 50","15 Jan 2015","18943.80","19043.95","18835.65","18926.60"
"NIFTY NEXT 50","14 Jan 2015","18739.55","18810.30","18588.65","18683.20"
"NIFTY NEXT 50","13 Jan 2015","18775.40","18838.60","18628.00","18688.50"
"NIFTY NEXT 50","12 Jan 2015","18652.00","18733.20","18578.40","18714.60"
"NIFTY NEXT 50","09 Jan 2015","18789.50","18828.60","18494.10","18633.95"
"NIFTY NEXT 50","08 Jan 2015","18488.15","18690.55","18476.45","18662.10"
"NIFTY NEXT 50","07 Jan 2015","18323.40","18424.00","18133.70","18308.85"
"NIFTY NEXT 50","06 Jan 2015","18752.90","18752.90","18263.60","18312.35"
"NIFTY NEXT 50","05 Jan 2015","18902.40","19053.00","18822.35","18852.10"
"NIFTY NEXT 50","02 Jan 2015","18748.30","18964.30","18748.30","18883.15"
"NIFTY NEXT 50","01 Jan 2015","18655.65","18752.65","18638.00","18734.85"
