ticker,company_name,sector,trendlyne_sector_raw,trendlyne_url
SKIPPER,Skipper Ltd.,Construction Materials,Cement and Construction,https://trendlyne.com/equity/1728/SKIPPER/skipper-ltd/
MOIL,MOIL Ltd.,Metals & Mining,Metals & Mining,https://trendlyne.com/equity/872/MOIL/moil-ltd/
STYLAMIND,Stylam Industries Ltd.,Forest Materials,Forest Materials,https://trendlyne.com/equity/3226/STYLAMIND/stylam-industries-ltd/
STYL,Seshaasai Technologies Ltd.,Information Technology,Software & Services,https://trendlyne.com/equity/3265793/STYL/seshaasai-technologies-ltd/
GULFOILLUB,Gulf Oil Lubricants India Ltd.,Oil Gas & Consumable Fuels,Oil & Gas,https://trendlyne.com/equity/518/GULFOILLUB/gulf-oil-lubricants-india-ltd/
INDIGOPNTS,Indigo Paints Ltd.,Consumer Durables,Consumer Durables,https://trendlyne.com/equity/402502/INDIGOPNTS/indigo-paints-ltd/
EPIGRAL,Epigral Ltd.,Chemicals,Chemicals & Petrochemicals,https://trendlyne.com/equity/634820/EPIGRAL/epigral-ltd/
DHANUKA,Dhanuka Agritech Ltd.,Chemicals,Chemicals & Petrochemicals,https://trendlyne.com/equity/327/DHANUKA/dhanuka-agritech-ltd/
JUSTDIAL,Just Dial Ltd.,Information Technology,Software & Services,https://trendlyne.com/equity/704/JUSTDIAL/just-dial-ltd/
AGI,AGI Greenpac Ltd.,Services,Commercial Services & Supplies,https://trendlyne.com/equity/574/AGI/agi-greenpac-ltd/
VSTIND,VST Industries Ltd.,Fast Moving Consumer Goods,"Food, Beverages & Tobacco",https://trendlyne.com/equity/1502/VSTIND/vst-industries-ltd/
GUFICBIO,Gufic BioSciences Ltd.,Healthcare,Pharmaceuticals & Biotechnology,https://trendlyne.com/equity/509/GUFICBIO/gufic-biosciences-ltd/
WEBELSOLAR,Websol Energy Systems Ltd.,Consumer Durables,Consumer Durables,https://trendlyne.com/equity/1511/WEBELSOLAR/websol-energy-systems-ltd/
RALLIS,Rallis India Ltd.,Chemicals,Chemicals & Petrochemicals,https://trendlyne.com/equity/1101/RALLIS/rallis-india-ltd/
IOLCP,IOL Chemicals and Pharmaceuticals Ltd.,Healthcare,Pharmaceuticals & Biotechnology,https://trendlyne.com/equity/640/IOLCP/iol-chemicals-and-pharmaceuticals-ltd/
POCL,Pondy Oxides & Chemicals Ltd.,Metals & Mining,Metals & Mining,https://trendlyne.com/equity/1055/POCL/pondy-oxides-chemicals-ltd/
ARTEMISMED,Artemis Medicare Services Ltd.,Healthcare,Healthcare,https://trendlyne.com/equity/182406/ARTEMISMED/artemis-medicare-services-ltd/
VSTTILLERS,VST Tillers Tractors Ltd.,Automobile and Auto Components,Automobiles & Auto Components,https://trendlyne.com/equity/1503/VSTTILLERS/vst-tillers-tractors-ltd/
KSL,Kalyani Steels Ltd.,Metals & Mining,Metals & Mining,https://trendlyne.com/equity/773/KSL/kalyani-steels-ltd/
JTEKTINDIA,JTEKT India Ltd.,Automobile and Auto Components,Automobiles & Auto Components,https://trendlyne.com/equity/1266/JTEKTINDIA/jtekt-india-ltd/
RPGLIFE,RPG Life Sciences Ltd.,Healthcare,Pharmaceuticals & Biotechnology,https://trendlyne.com/equity/1148/RPGLIFE/rpg-life-sciences-ltd/
JKIL,J Kumar Infraprojects Ltd.,Construction Materials,Cement and Construction,https://trendlyne.com/equity/684/JKIL/j-kumar-infraprojects-ltd/
LUXIND,Lux Industries Ltd.,Textiles,Textiles Apparels & Accessories,https://trendlyne.com/equity/1796/LUXIND/lux-industries-ltd/
SSWL,Steel Strips Wheels Ltd.,Automobile and Auto Components,Automobiles & Auto Components,https://trendlyne.com/equity/1290/SSWL/steel-strips-wheels-ltd/
TFCILTD,Tourism Finance Corporation of India Ltd.,Financial Services,Banking and Finance,https://trendlyne.com/equity/1381/TFCILTD/tourism-finance-corporation-of-india-ltd/
ARSSBL,Anand Rathi Share & Stock Brokers Ltd.,Financial Services,Banking and Finance,https://trendlyne.com/equity/3270737/ARSSBL/anand-rathi-share-stock-brokers-ltd/
SOTL,Savita Oil Technologies Ltd.,Oil Gas & Consumable Fuels,Oil & Gas,https://trendlyne.com/equity/1268/SOTL/savita-oil-technologies-ltd/
SAMBHV,Sambhv Steel Tubes Ltd.,Metals & Mining,Metals & Mining,https://trendlyne.com/equity/3148899/SAMBHV/sambhv-steel-tubes-ltd/
CARRARO,Carraro India Ltd.,Automobile and Auto Components,Automobiles & Auto Components,https://trendlyne.com/equity/2867597/CARRARO/carraro-india-ltd/
ZAGGLE,Zaggle Prepaid Ocean Services Ltd.,Information Technology,Software & Services,https://trendlyne.com/equity/1690561/ZAGGLE/zaggle-prepaid-ocean-services-ltd/
GKENERGY,GK Energy Ltd.,Capital Goods,General Industrials,https://trendlyne.com/equity/3262882/GKENERGY/gk-energy-ltd/
STYLEBAAZA,Baazar Style Retail Ltd.,Consumer Services,Retailing,https://trendlyne.com/equity/2586584/STYLEBAAZA/baazar-style-retail-ltd/
TCPLPACK,TCPL Packaging Ltd.,Services,Commercial Services & Supplies,https://trendlyne.com/equity/2936/TCPLPACK/tcpl-packaging-ltd/
SANGAMIND,Sangam (India) Ltd.,Textiles,Textiles Apparels & Accessories,https://trendlyne.com/equity/1178/SANGAMIND/sangam-india-ltd/
KLBRENG-B,Kilburn Engineering Ltd.,Capital Goods,General Industrials,https://trendlyne.com/equity/2881/KLBRENG-B/kilburn-engineering-ltd/
DIAMONDYD,Prataap Snacks Ltd.,Fast Moving Consumer Goods,FMCG,https://trendlyne.com/equity/60394/DIAMONDYD/prataap-snacks-ltd/
APCOTEXIND,Apcotex Industries Ltd.,Automobile and Auto Components,Automobiles & Auto Components,https://trendlyne.com/equity/89/APCOTEXIND/apcotex-industries-ltd/
