ticker,company_name,sector,tier,market_cap_cr,adtv_cr,is_fno_eligible,is_nifty500,isin
BELLACASA,,,6,0,0.3493153090793651,False,False,
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,4,0,99.26875177390475,False,True,INE894V01022
BEML,BEML Ltd.,Capital Goods,4,0,56.325017443133106,False,True,INE258A01024
BENGALASM,,,6,0,0.31983982610000006,False,False,
BEPL,,,6,0,6.823021027904763,False,False,
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,3,0,35.2069307895238,False,True,INE463A01038
BESTAGRO,,,6,0,0.8515782987555556,False,False,
BETA,,,6,0,4.414374556666665,False,False,
BFINVEST,,,6,0,1.4993012323809525,False,False,
BFSI,,,6,0,1.1452669508571427,False,False,
BFUTILITIE,,,6,0,5.668112465510205,False,False,
BHAGCHEM,,,6,0,4.997955693365081,False,False,
BHAGERIA,,,6,0,2.3552422681578933,False,False,
BHAGYANGR,,,6,0,13.444023166857141,False,False,
BHANDARI,,,6,0,0.25949275683870965,False,False,
BHARATCOAL,,,6,0,129.5534346592222,False,False,
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,3,0,248.46411560476193,False,True,INE465A01025
BHARATGEAR,,,6,0,1.3107818220793652,False,False,
BHARATRAS,,,6,0,2.639546802063492,False,False,
BHARATSE,,,6,0,4.311559936523809,False,False,
BHARATWIRE,,,6,0,21.066711917492057,False,False,
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,1,0,1759.110388888889,False,True,INE397D01024
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,3,0,26.043658870158726,False,True,INE343G01021
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,3,0,636.9672258013809,False,True,INE257A01026
BI,,,6,0,0.04791620206,False,False,
BIGBLOC,,,6,0,0.8240797847460317,False,False,
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,4,0,10.82506601,False,True,INE00E101023
BIL,,,6,0,0.563064139920635,False,False,
BIMETAL,,,6,0,0.05468665510000001,False,False,
BIOCON,Biocon Ltd.,Healthcare,3,0,161.39181537634923,False,True,INE376G01013
BIOFILCHEM,,,6,0,0.23802507731746034,False,False,
BIRLACABLE,,,6,0,3.2787573280952387,False,False,
BIRLACORPN,,,6,0,9.673665026269841,False,False,
BIRLAMONEY,,,6,0,1.3624287305396825,False,False,
BIRLANU,,,6,0,1.6558935982539686,False,False,
BIRLAPREC,,,6,0,0.42416415735999996,False,False,
BLACKBUCK,,,6,0,38.58215252960318,False,False,
BLACKROSE,,,6,0,1.04622387924,False,False,
BLAL,,,6,0,0.5543118133015873,False,False,
BLBLIMITED,,,6,0,0.11780888109999997,False,False,
BLIL,,,6,0,0.5492154936200001,False,False,
BLISSGVS,,,6,0,82.65178608536507,False,False,
BLKASHYAP,,,6,0,3.4260325873333337,False,False,
BLS,BLS International Services Ltd.,Consumer Services,4,0,77.54546753120634,False,True,INE153T01027
BLSE,,,6,0,6.185435848761905,False,False,
BLUECHIP,,,6,0,0.0039460988,False,False,
BLUECOAST,,,6,0,0.014217192047619051,False,False,
BLUEDART,Blue Dart Express Ltd.,Services,4,0,7.772145062063491,False,True,INE233B01017
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,4,0,34.49393035412699,False,True,INE0KBH01020
BLUESTARCO,Blue Star Ltd.,Consumer Durables,3,0,110.25434166095238,False,True,INE472A01039
BLUESTONE,,,6,0,28.125996275000006,False,False,
BLUSPRING,,,6,0,7.421051281809524,False,False,
BMWVENTLTD,,,6,0,0.6983305191746032,False,False,
BNAGROCHEM,,,6,0,0.2628984720952381,False,False,
BNALTD,,,6,0,0.01613542475609756,False,False,
BODALCHEM,,,6,0,4.048827977410257,False,False,
BOHRAIND,,,6,0,0.043785161866666665,False,False,
BOMDYEING,,,6,0,18.900064623301585,False,False,
BONLON,,,6,0,0.12061223169090908,False,False,
BORANA,,,6,0,1.8690499981250004,False,False,
BOROLTD,,,6,0,2.29760489552381,False,False,
BORORENEW,,,6,0,46.351709916984134,False,False,
BOROSCI,,,6,0,2.1094605933015877,False,False,
BOSCH-HCIL,,,6,0,7.541824139365081,False,False,
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,2,0,176.21382995238093,False,True,INE323A01026
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,2,0,345.33339213849206,False,True,INE029A01011
BPL,,,6,0,0.45114131038095234,False,False,
BRIGADE,Brigade Enterprises Ltd.,Realty,4,0,36.55605396140873,False,True,INE791I01019
BRIGHOTEL,,,6,0,0.6842057172380952,False,False,
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,2,0,231.20387619761905,False,True,INE216A01030
BRNL,,,6,0,0.09465492593650794,False,False,
BROOKS,,,6,0,2.6241885404166667,False,False,
BSE,BSE Ltd.,Financial Services,3,0,1575.8781439207937,False,True,INE118H01025
BSE500IETF,,,6,0,0.9311819704285713,False,False,
BSHSL,,,6,0,2.7288654919999993,False,False,
BSL,,,6,0,0.18378858946031745,False,False,
BSLGOLDETF,,,6,0,5.935806633079365,False,False,
BSLNIFTY,,,6,0,3.4737336174285725,False,False,
BSLSENETFG,,,6,0,0.06638090487301586,False,False,
BSOFT,Birlasoft Ltd.,Information Technology,4,0,44.19160448436509,False,True,INE836A01035
BTML,,,6,0,0.21990672295238095,False,False,
BTTL,,,6,0,0.35721439854,False,False,
BUILDPRO,,,6,0,8.408377130793651,False,False,
BUTTERFLY,,,6,0,9.743607575396826,False,False,
BVCL,,,6,0,0.08296376173015874,False,False,
BYKE,,,6,0,0.3725782716176471,False,False,
CALSOFT,,,6,0,0.4627186337142858,False,False,
CAMLINFINE,,,6,0,30.0556770676508,False,False,
CAMPUS,,,6,0,9.252053974158729,False,False,
CAMS,Computer Age Management Services Ltd.,Financial Services,4,0,124.64000009039678,False,True,INE596I01020
CANBK,Canara Bank,Financial Services,2,0,344.9746567621418,False,True,INE476A01022
CANFINHOME,Can Fin Homes Ltd.,Financial Services,4,0,15.459624745714287,False,True,INE477A01020
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,4,0,13.360221942587303,False,True,INE01TY01017
