ticker,bse_scripcode,company_name,isin,resolved_at
SRTL,544716,SHREE RAM TWISTEX LTD,INE19GK01015,2026-09-05
STALLION,544342,STALLION INDIA FLUOROCHEMICALS LTD,INE0RYC01010,2026-09-05
STEELCAS,513517,STEELCAST LTD,INE124E01038,2026-09-05
SUNDRMBRAK,590072,SUNDARAM BRAKE LININGS LTD,INE073D01013,2026-09-05
SUPRIYA,543434,SUPRIYA LIFESCIENCE LTD,INE07RO01027,2026-09-05
SURYODAY,543279,SURYODAY SMALL FINANCE BANK LTD,INE428Q01011,2026-09-05
SWARAJENG,500407,SWARAJ ENGINES LTD,INE277A01016,2026-09-05
TAINWALCHM,507785,TAINWALA CHEMICALS AND PLASTICS (INDIA) LTD,INE123C01018,2026-09-05
TARAPUR,533203,TARAPUR TRANSFORMERS LTD,INE747K01017,2026-09-05
TASTYBITE,519091,TASTY BITE EATABLES LTD,INE488B01017,2026-09-05
THANGAMAYL,533158,THANGAMAYIL JEWELLERY LTD,INE085J01014,2026-09-05
THOMASCOTT,533941,THOMAS SCOTT (INDIA) LTD,INE480M01011,2026-09-05
TIJARIA,533629,TIJARIA POLYPIPES LTD,INE440L01017,2026-09-05
TIMEX,500414,TIMEX GROUP INDIA LTD,INE064A01026,2026-09-05
TIPSFILMS,543614,TIPS FILMS LTD,INE0LQS01015,2026-09-05
TIPSMUSIC,532375,TIPS MUSIC LTD,INE716B01029,2026-09-05
TMB,543596,TAMILNAD MERCANTILE BANK LTD,INE668A01016,2026-09-05
TNPL,531426,TAMIL NADU NEWSPRINT  PAPERS LTD,INE107A01015,2026-09-05
TNTELE,523419,TAMILNADU TELECOMMUNICATIONS LTD,INE141D01018,2026-09-05
TRACXN,543638,TRACXN TECHNOLOGIES LTD,INE0HMF01019,2026-09-05
TTKHLTCARE,507747,TTK HEALTHCARE LTD,INE910C01018,2026-09-05
TTL,514142,T T LTD,INE592B01024,2026-09-05
UJJIVANSFB,542904,UJJIVAN SMALL FINANCE BANK LTD,INE551W01018,2026-09-05
UNIENTER,500429,UNIPHOS ENTERPRISES LTD,INE037A01022,2026-09-05
USK,543861,UDAYSHIVAKUMAR INFRA LTD,INE0N0Y01013,2026-09-05
UTKARSHBNK,543942,UTKARSH SMALL FINANCE BANK LTD,INE735W01017,2026-09-05
VENKEYS,523261,VENKYS (INDIA) LTD,INE398A01010,2026-09-05
VENUSPIPES,543528,VENUS PIPES  TUBES LTD,INE0JA001018,2026-09-05
VESUVIUS,520113,VESUVIUS INDIA LTD,INE386A01023,2026-09-05
VINEETLAB,543298,VINEET LABORATORIES LTD,INE505Y01010,2026-09-05
VINNY,543670,VINNY OVERSEAS LTD,INE01KI01027,2026-09-05
VINYLINDIA,524129,VINYL CHEMICALS (INDIA) LTD,INE250B01029,2026-09-05
VIPCLOTHNG,532613,VIP CLOTHING LTD,INE450G01024,2026-09-05
VISHWARAJ,542852,VISHWARAJ SUGAR INDUSTRIES LTD,INE430N01022,2026-09-05
VIVIDHA,506146,VISAGAR POLYTEX LTD,INE370E01029,2026-09-05
VLEGOV,543958,VL E-GOVERNANCE  IT SOLUTIONS LTD,INE03HW01020,2026-09-05
VMART,534976,V-MART RETAIL LTD,INE665J01013,2026-09-05
VMSTMT,544521,VMS TMT LTD,INE0SJA01013,2026-09-05
VOLTAMP,532757,VOLTAMP TRANSFORMERS LTD,INE540H01012,2026-09-05
VPRPL,543974,VISHNU PRAKASH R PUNGLIA LTD,INE0AE001013,2026-09-05
VRLLOG,539118,VRL LOGISTICS LTD,INE366I01010,2026-09-05
VSTL,544124,VIBHOR STEEL TUBES LTD,INE0QTF01015,2026-09-05
WAAREEINDO,533257,INDOSOLAR LTD,INE866K01023,2026-09-05
WAKEFIT,544642,WAKEFIT INNOVATIONS LTD,INE0E7301029,2026-09-05
WALCHANNAG,507410,WALCHANDNAGAR INDUSTRIES LTD,INE711A01022,2026-09-05
WELINV,533252,WELSPUN INVESTMENTS AND COMMERCIALS LTD,INE389K01018,2026-09-05
WELSPLSOL,500365,WELSPUN SPECIALTY SOLUTIONS LTD,INE731F01037,2026-09-05
WONDERLA,538268,WONDERLA HOLIDAYS LTD,INE066O01014,2026-09-05
ZENITHEXPO,512553,ZENITH EXPORTS LTD,INE058B01018,2026-09-05
