ticker,company_name,sector,screener_url
DYNAMATECH,Dynamatic Technologies Ltd,Capital Goods,/company/DYNAMATECH/consolidated/
SUDARSCHEM,Sudarshan Chemical Industries Ltd,Chemicals,/company/SUDARSCHEM/consolidated/
GALAXYSURF,Galaxy Surfactants Ltd,Chemicals,/company/GALAXYSURF/consolidated/
VIKRAMSOLR,Vikram Solar Ltd,Capital Goods,/company/VIKRAMSOLR/consolidated/
MAXESTATES,Max Estates Ltd,Realty,/company/MAXESTATES/consolidated/
TRANSRAILL,Transrail Lighting Ltd,Capital Goods,/company/TRANSRAILL/consolidated/
IMFA,Indian Metals & Ferro Alloys Ltd,Metals & Mining,/company/IMFA/consolidated/
FDC,FDC Ltd,Healthcare,/company/FDC/consolidated/
CEIGALL,Ceigall India Ltd,Construction,/company/CEIGALL/consolidated/
NEPHROPLUS,Nephrocare Health Services Ltd,Healthcare,/company/NEPHROPLUS/consolidated/
ISGEC,ISGEC Heavy Engineering  Ltd,Construction,/company/ISGEC/consolidated/
HNDFDS,Hindustan Foods Ltd,Fast Moving Consumer Goods,/company/HNDFDS/consolidated/
HCC,Hindustan Construction Company Ltd,Construction,/company/HCC/consolidated/
DODLA,Dodla Dairy Ltd,Fast Moving Consumer Goods,/company/DODLA/consolidated/
INDIAGLYCO,India Glycols Ltd,Fast Moving Consumer Goods,/company/INDIAGLYCO/consolidated/
GREENLAM,Greenlam Industries Ltd,Consumer Durables,/company/GREENLAM/consolidated/
ETHOSLTD,Ethos Ltd,Consumer Durables,/company/ETHOSLTD/consolidated/
PRAJIND,Praj Industries Ltd,Capital Goods,/company/PRAJIND/consolidated/
GSFC,Gujarat State Fertilizers & Chemicals Ltd,Chemicals,/company/GSFC/consolidated/
GANESHHOU,Ganesh Housing Ltd,Realty,/company/GANESHHOU/consolidated/
BALAMINES,Balaji Amines Ltd,Chemicals,/company/BALAMINES/consolidated/
ASHAPURMIN,Ashapura Minechem Ltd,Metals & Mining,/company/ASHAPURMIN/consolidated/
SUPRAJIT,Suprajit Engineering Ltd,Automobile and Auto Components,/company/SUPRAJIT/consolidated/
ACI,Archean Chemical Industries Ltd,Chemicals,/company/ACI/consolidated/
JKPAPER,JK Paper Ltd,Forest Materials,/company/JKPAPER/consolidated/
ALOKINDS,Alok Industries Ltd,Textiles,/company/ALOKINDS/consolidated/
GOKEX,Gokaldas Exports Ltd,Textiles,/company/GOKEX/consolidated/
AARTIPHARM,Aarti Pharmalabs Ltd,Healthcare,/company/AARTIPHARM/consolidated/
ARVINDFASN,Arvind Fashions Ltd,Consumer Services,/company/ARVINDFASN/consolidated/
RAIN,Rain Industries Ltd,Chemicals,/company/RAIN/consolidated/
SUNFLAG,Sunflag Iron & Steel Company Ltd,Capital Goods,/company/SUNFLAG/consolidated/
AEROFLEX,Aeroflex Industries Ltd,Capital Goods,/company/AEROFLEX/consolidated/
GVPIL,GE Power India Ltd,Capital Goods,/company/GVPIL/consolidated/
KALPATARU,Kalpataru Ltd,Realty,/company/KALPATARU/consolidated/
GOKULAGRO,Gokul Agro Resources Ltd,Fast Moving Consumer Goods,/company/GOKULAGRO/consolidated/
TVSSCS,TVS Supply Chain Solutions Ltd,Services,/company/TVSSCS/consolidated/
SENORES,Senores Pharmaceuticals Ltd,Healthcare,/company/SENORES/consolidated/
CCAVENUE,AvenuesAI Ltd,Financial Services,/company/CCAVENUE/consolidated/
DBREALTY,Valor Estate Ltd,Realty,/company/DBREALTY/consolidated/
IONEXCHANG,Ion Exchange (India) Ltd,Utilities,/company/IONEXCHANG/consolidated/
SIS,SIS Ltd,Consumer Services,/company/SIS/consolidated/
FIEMIND,Fiem Industries Ltd,Automobile and Auto Components,/company/FIEMIND/consolidated/
PRSMJOHNSN,Prism Johnson Ltd,Construction Materials,/company/PRSMJOHNSN/consolidated/
SWSOLAR,Sterling & Wilson Renewable Energy Ltd,Construction,/company/SWSOLAR/consolidated/
PNCINFRA,PNC Infratech Ltd,Construction,/company/PNCINFRA/consolidated/
TIIL,Technocraft Industries (India) Ltd,Capital Goods,/company/TIIL/consolidated/
UNIMECH,Unimech Aerospace and Manufacturing Ltd,Capital Goods,/company/UNIMECH/consolidated/
SAATVIKGL,Saatvik Green Energy Ltd,Capital Goods,/company/SAATVIKGL/consolidated/
RPEL,Raghav Productivity Enhancers Ltd,Capital Goods,/company/RPEL/consolidated/
BLISSGVS,Bliss GVS Pharma Ltd,Healthcare,/company/BLISSGVS/consolidated/
AHLUCONT,Ahluwalia Contracts (India) Ltd,Construction,/company/AHLUCONT/consolidated/
MASFIN,MAS Financial Services Ltd,Financial Services,/company/MASFIN/consolidated/
PICCADIL,Piccadily Agro Industries Ltd,Fast Moving Consumer Goods,/company/PICCADIL/consolidated/
CENTUM,Centum Electronics Ltd,Capital Goods,/company/CENTUM/consolidated/
BALUFORGE,Balu Forge Industries Ltd,Capital Goods,/company/BALUFORGE/consolidated/
SETL,Standard Engineering Technology Ltd,Capital Goods,/company/SETL/consolidated/
SURYAROSNI,Surya Roshni Ltd,Capital Goods,/company/SURYAROSNI/consolidated/
INNOVACAP,Innova Captab Ltd,Healthcare,/company/INNOVACAP/consolidated/
SMARTWORKS,Smartworks Coworking Spaces Ltd,Services,/company/SMARTWORKS/consolidated/
BECTORFOOD,Mrs Bectors Food Specialities Ltd,Fast Moving Consumer Goods,/company/BECTORFOOD/consolidated/
BANSALWIRE,Bansal Wire Industries Ltd,Capital Goods,/company/BANSALWIRE/consolidated/
NEOGEN,Neogen Chemicals Ltd,Chemicals,/company/NEOGEN/consolidated/
SUBROS,Subros Ltd,Capital Goods,/company/SUBROS/consolidated/
SENCO,Senco Gold Ltd,Consumer Durables,/company/SENCO/consolidated/
PAISALO,Paisalo Digital Ltd,Financial Services,/company/PAISALO/consolidated/
NACLIND,NACL Industries Ltd,Chemicals,/company/NACLIND/consolidated/
CMRGREEN,CMR Green Technologies Ltd,Capital Goods,/company/CMRGREEN/consolidated/
PTC,PTC India Ltd,Power,/company/PTC/consolidated/
KMEW,Knowledge Marine & Engineering Works Ltd,Services,/company/KMEW/consolidated/
RUSTOMJEE,Keystone Realtors Ltd,Realty,/company/RUSTOMJEE/consolidated/
JAMNAAUTO,Jamna Auto Industries Ltd,Automobile and Auto Components,/company/JAMNAAUTO/consolidated/
IFBIND,IFB Industries Ltd,Consumer Durables,/company/IFBIND/consolidated/
RESPONIND,Responsive Industries Ltd,Consumer Durables,/company/RESPONIND/consolidated/
RPTECH,Rashi Peripherals Ltd,Information Technology,/company/RPTECH/consolidated/
ENTERO,Entero Healthcare Solutions Ltd,Consumer Services,/company/ENTERO/consolidated/
GREAVESCOT,Greaves Cotton Ltd,Capital Goods,/company/GREAVESCOT/consolidated/
HAPPSTMNDS,Happiest Minds Technologies Ltd,Information Technology,/company/HAPPSTMNDS/consolidated/
PDSL,PDS Ltd,Textiles,/company/PDSL/consolidated/
PURVA,Puravankara Ltd,Realty,/company/PURVA/consolidated/
ICRA,ICRA Ltd,Financial Services,/company/ICRA/consolidated/
ITDC,India Tourism Development Corporation Ltd,Consumer Services,/company/ITDC/consolidated/
LGBBROSLTD,L G Balakrishnan & Bros Ltd,Automobile and Auto Components,/company/LGBBROSLTD/consolidated/
MSTCLTD,MSTC Ltd,Services,/company/MSTCLTD/consolidated/
THOMASCOOK,Thomas Cook (India) Ltd,Consumer Services,/company/THOMASCOOK/consolidated/
CARERATING,CARE Ratings Ltd,Financial Services,/company/CARERATING/consolidated/
ORCHPHARMA,Orchid Pharma Ltd,Healthcare,/company/ORCHPHARMA/consolidated/
SHARDAMOTR,Sharda Motor Industries Ltd,Automobile and Auto Components,/company/SHARDAMOTR/consolidated/
LUMAXIND,Lumax Industries Ltd,Automobile and Auto Components,/company/LUMAXIND/consolidated/
ZOTA,Zota Health Care Ltd,Healthcare,/company/ZOTA/consolidated/
GOODLUCK,Goodluck India Ltd,Capital Goods,/company/GOODLUCK/consolidated/
GOLDIAM,Goldiam International Ltd,Consumer Durables,/company/GOLDIAM/consolidated/
REFEX,Refex Industries Ltd,Utilities,/company/REFEX/consolidated/
NORTHARC,Northern Arc Capital Ltd,Financial Services,/company/NORTHARC/consolidated/
NETWORK18,Network 18 Media & Investments Ltd,"Media, Entertainment & Publication",/company/NETWORK18/consolidated/
AURIONPRO,Aurionpro Solutions Ltd,Information Technology,/company/AURIONPRO/consolidated/
RTNPOWER,RattanIndia Power Ltd,Power,/company/RTNPOWER/consolidated/
MASTEK,Mastek Ltd,Information Technology,/company/MASTEK/consolidated/
DATAMATICS,Datamatics Global Services Ltd,Information Technology,/company/DATAMATICS/consolidated/
ELECTCAST,Electrosteel Castings Ltd,Capital Goods,/company/ELECTCAST/consolidated/
MHRIL,Mahindra Holidays & Resorts India Ltd,Consumer Services,/company/MHRIL/consolidated/
PILANIINVS,Pilani Investment & Industries Corporation Ltd,Financial Services,/company/PILANIINVS/consolidated/
CMSINFO,CMS Info Systems Ltd,Services,/company/CMSINFO/consolidated/
OSWALPUMPS,Oswal Pumps Ltd,Capital Goods,/company/OSWALPUMPS/consolidated/
AVANTEL,Avantel Ltd,Capital Goods,/company/AVANTEL/consolidated/
RENUKA,Shree Renuka Sugars Ltd,Fast Moving Consumer Goods,/company/RENUKA/consolidated/
SYMPHONY,Symphony Ltd,Consumer Durables,/company/SYMPHONY/consolidated/
KISSHT,Onemi Technology Solutions Ltd,Financial Services,/company/KISSHT/consolidated/
RAYMONDLSL,Raymond Lifestyle Ltd,Textiles,/company/RAYMONDLSL/consolidated/
WPIL,WPIL Ltd,Capital Goods,/company/WPIL/consolidated/
RBA,Restaurant Brands Asia Ltd,Consumer Services,/company/RBA/consolidated/
COCKERILL,John Cockerill India Ltd,Capital Goods,/company/COCKERILL/consolidated/
EMIL,Electronics Mart India Ltd,Consumer Services,/company/EMIL/consolidated/
