ticker,max_gap_pct,num_gaps,avg_gap_pct,action_types,priority_score
FCL,20.0,7,10.87142857142857,"e=2025-10-31 00,e=2015-02-12 00,e=2019-09-19 00,e=2020-03-23 00,e=2025-02-18 00,e=2026-09-04 00",44.0
REIAGROLTD,25.2,3,14.633333333333333,"e=2009-02-05 00,e=2010-06-07 00,e=2015-09-23 00",43.8
PFIZER,25.0,3,18.366666666666667,"e=2013-08-28 00,e=2013-12-05 00",43.5
GOLDIAM,19.6,7,9.62857142857143,"e=2022-03-28 00,e=2007-08-30 00,e=2008-09-18 00,e=2013-02-25 00,e=2014-09-16 00,e=2016-02-23 00,e=2026-07-10 00",43.400000000000006
AKSHAR,27.3,1,27.3,e=2024-08-23 00,42.95
TANLA,19.1,7,9.0,"e=2008-09-18 00,e=2009-09-23 00,e=2012-09-20 00,e=2013-09-16 00,e=2017-09-07 00,e=2025-01-27 00,e=2026-04-30 00",42.650000000000006
CHENNPETRO,15.1,10,7.6,"e=2006-08-16 00,e=2007-08-24 00,e=2008-08-22 00,e=2010-08-20 00,e=2011-08-29 00,e=2013-08-08 00,e=2018-08-14 00,e=2023-08-04 00,e=2024-07-19 00",42.65
KEI,20.3,6,10.366666666666667,"e=2006-06-08 00,e=2006-12-21 00,e=2013-06-13 00,e=2014-09-11 00,e=2020-03-19 00,e=2025-01-27 00",42.45
MOTHERSON,24.3,3,17.166666666666668,"e=2018-10-30 00,e=2020-03-12 00,e=2022-01-14 00",42.45
JDORGOCHEM,25.6,2,15.9,"e=2010-09-16 00,e=2012-09-20 00",42.400000000000006
NAGREEKEXP,21.4,5,12.8,"e=2024-03-18 00,e=2007-09-12 00,e=2017-09-07 00,e=2019-09-19 00,e=2023-09-22 00",42.099999999999994
BHARATRAS,19.9,6,9.283333333333333,"e=2025-12-12 00,e=2008-09-22 00,e=2011-09-22 00,e=2016-09-20 00,e=2020-09-16 00",41.849999999999994
GVT&D,23.8,3,12.266666666666666,"e=2009-04-29 00,e=2011-12-14 00,e=2021-07-29 00",41.7
HINDZINC,13.1,11,8.163636363636364,"e=2014-05-19 00,e=2016-04-06 00,e=2017-03-29 00,e=2018-10-31 00,e=2020-05-19 00,e=2020-10-27 00,e=2021-12-14 00,e=2022-07-20 00,e=2022-11-23 00,e=2023-03-29 00,e=2025-06-17 00",41.65
BLUECHIP,25.0,2,17.75,"e=2011-09-15 00,e=2015-09-18 00",41.5
ECEIND,24.9,2,15.049999999999999,"e=2010-05-26 00,e=2018-09-18 00",41.349999999999994
NIPPOBATRY,18.2,7,8.171428571428573,"e=2008-06-06 00,e=2009-09-03 00,e=2010-07-15 00,e=2011-07-14 00,e=2013-09-18 00,e=2019-09-13 00,e=2022-09-19 00",41.3
AHLEAST,24.8,2,24.8,e=2022-10-06 00,41.2
MFSL,26.1,1,26.1,e=2016-01-27 00,41.150000000000006
HGS,13.9,10,8.4,"e=2008-09-17 00,e=2009-07-20 00,e=2011-07-21 00,e=2012-08-03 00,e=2013-08-05 00,e=2015-08-24 00,e=2021-09-20 00,e=2022-01-17 00,e=2023-03-06 00",40.85
MMTC,21.9,4,14.975,"e=2018-05-03 00,e=2020-12-15 00,e=2010-07-29 00",40.849999999999994
GENESYS,21.8,4,11.5,"e=2007-10-12 00,e=2010-05-10 00,e=2013-09-11 00,e=2014-09-18 00",40.7
JINDWORLD,20.0,5,13.48,"e=2025-02-28 00,e=2016-09-22 00,e=2018-10-31 00,e=2020-03-19 00",40.0
COCHINSHIP,20.0,5,9.860000000000001,"e=2021-02-23 00,e=2022-11-21 00,e=2024-01-10 00,e=2024-02-12 00,e=2025-09-12 00",40.0
