ticker,gap_pct,action_type,ex_date,ratio,severity
JKTYRE,17.6,e=2014-12-18 00,2014-12-18,,critical
MAHAPEXLTD,17.5,e=2026-03-20 00,2026-03-20,,critical
ROML,17.5,e=2023-02-09 00,2023-02-09,,critical
SRIADIKARI,17.4,e=2007-09-18 00,2007-09-18,,critical
JETAIRWAYS,17.4,e=2013-07-26 00,2013-07-26,,critical
NAGREEKEXP,17.4,e=2007-09-12 00,2007-09-12,,critical
CESC,17.4,e=2018-10-30 00,2018-10-30,,critical
EXIDEIND,17.3,e=2006-09-08 00,2006-09-08,,critical
INDIANCARD,17.2,e=2022-05-12 00,2022-05-12,,critical
ORICONENT,17.2,e=2016-03-29 00,2016-03-29,,critical
TRICOM,17.1,e=2008-09-19 00,2008-09-19,,critical
NELCAST,17.1,e=2011-09-06 00,2011-09-06,,critical
OCTAV,17.0,e=2008-09-15 00,2008-09-15,,critical
TAKE,17.0,e=2019-02-22 00,2019-02-22,,critical
GAYAPROJ,17.0,e=2012-02-22 00,2012-02-22,,critical
CGPOWER,17.0,e=2016-03-15 00,2016-03-15,,critical
ICIL,16.9,e=2009-09-17 00,2009-09-17,,critical
ALMONDZ,16.9,e=2016-09-21 00,2016-09-21,,critical
UFO,16.9,e=2019-06-06 00,2019-06-06,,critical
DEVIT,16.9,e=2022-11-25 00,2022-11-25,,critical
CELEBRITY,16.8,e=2010-10-26 00,2010-10-26,,critical
SHOPERSTOP,16.8,e=2024-07-10 00,2024-07-10,,critical
WYETH,16.8,e=2013-12-05 00,2013-12-05,,critical
A2ZINFRA,16.8,e=2017-09-21 00,2017-09-21,,critical
ATLASCYCLE,16.8,e=2009-09-18 00,2009-09-18,,critical
FARMAXIND,16.7,e=2015-09-23 00,2015-09-23,,critical
KFA,16.7,e=2008-12-19 00,2008-12-19,,critical
PRAKASHSTL,16.7,e=2017-09-21 00,2017-09-21,,critical
ANTGRAPHIC,16.7,e=2011-09-21 00,2011-09-21,,critical
GTL,16.7,e=2006-07-07 00,2006-07-07,,critical
LCCINFOTEC,16.7,e=2012-09-17 00,2012-09-17,,critical
MVL,16.7,e=2016-09-21 00,2016-09-21,,critical
TELEDATAIT,16.7,e=2011-09-22 00,2011-09-22,,critical
RESURGERE,16.7,e=2011-09-22 00,2011-09-22,,critical
PARASPETRO,16.7,e=2012-09-20 00,2012-09-20,,critical
JVLAGRO,16.6,e=2014-09-12 00,2014-09-12,,critical
ACCURACY,16.6,e=2023-02-15 00,2023-02-15,,critical
EKC,16.5,e=2025-08-14 00,2025-08-14,,critical
IVC,16.5,e=2020-11-02 00,2020-11-02,,critical
MANINFRA,16.5,e=2021-11-17 00,2021-11-17,,critical
ONGC,16.5,e=2020-03-23 00,2020-03-23,,critical
ICIL,16.5,e=2020-07-22 00,2020-07-22,,critical
KELLTONTEC,16.4,e=2025-07-25 00,2025-07-25,,critical
BEML,16.4,e=2022-09-08 00,2022-09-08,,critical
ALLCARGO,16.4,e=2020-03-23 00,2020-03-23,,critical
GULFOILCOR,16.3,e=2010-07-27 00,2010-07-27,,critical
INTENTECH,16.3,e=2017-09-19 00,2017-09-19,,critical
VASCONEQ,16.3,e=2015-09-21 00,2015-09-21,,critical
KIRIINDUS,16.3,e=2016-09-14 00,2016-09-14,,critical
SALASAR,16.2,e=2022-06-27 00,2022-06-27,,critical
SUDARCOLOR,16.1,e=2015-01-19 00,2015-01-19,,critical
ICIL,16.1,e=2013-07-16 00,2013-07-16,,critical
KANORICHEM,16.1,e=2015-08-24 00,2015-08-24,,critical
BCG,16.1,e=2021-08-18 00,2021-08-18,,critical
UEL,16.0,e=2024-09-20 00,2024-09-20,,critical
DHARSUGAR,16.0,e=2016-09-20 00,2016-09-20,,critical
SILGO,16.0,e=2024-02-22 00,2024-02-22,,critical
SIGMA,16.0,e=2025-10-06 00,2025-10-06,,critical
BORORENEW,16.0,e=2018-08-02 00,2018-08-02,,critical
DHAMPURSUG,15.9,e=2022-05-13 00,2022-05-13,,critical
TINPLATE,15.9,e=2009-09-09 00,2009-09-09,,critical
PREMIER,15.9,e=2013-05-31 00,2013-05-31,,critical
GESHIP,15.9,e=2008-10-31 00,2008-10-31,,critical
SEPC,15.9,e=2025-05-23 00,2025-05-23,,critical
ASIANTILES,15.9,e=2022-04-11 00,2022-04-11,,critical
NELCAST,15.9,e=2011-01-25 00,2011-01-25,,critical
HIRECT,15.8,e=2007-08-28 00,2007-08-28,,critical
RSWM,15.8,e=2009-04-17 00,2009-04-17,,critical
RUSHIL,15.8,e=2020-09-10 00,2020-09-10,,critical
PAEL,15.8,e=2015-08-06 00,2015-08-06,,critical
PANAMAPET,15.8,e=2017-10-03 00,2017-10-03,,critical
KTKBANK,15.8,e=2020-03-17 00,2020-03-17,,critical
BOROLTD,15.7,e=2023-12-05 00,2023-12-05,,critical
AUSOMENT,15.7,e=2017-09-21 00,2017-09-21,,critical
DVL,15.7,e=2014-09-18 00,2014-09-18,,critical
AGIIL,15.6,e=2025-10-10 00,2025-10-10,,critical
PRECOT,15.6,e=2011-08-08 00,2011-08-08,,critical
KARURVYSYA,15.6,e=2017-10-12 00,2017-10-12,,critical
INVENTURE,15.6,e=2021-06-24 00,2021-06-24,,critical
