ticker,gap_count
AUTOAXLES,3
WALCHANNAG,3
GATECH,3
ALPSINDUS,2
ALLDIGI,2
CAPLIPOINT,2
BHARATGEAR,2
KFA,2
SHARDAMOTR,2
AJOONI,2
LML,2
BHANDARI,2
PGIL,2
MAHSEAMLES,2
SHOPERSTOP,2
BIRLACORPN,2
ALPA,2
AICHAMP,2
BIRLACABLE,2
XLENERGY,2
VBL,2
BIGBLOC,2
KEC,2
VASWANI,2
ALOKTEXT,2
AIIL,2
CALSOFT,2
PFOCUS,2
SHK,2
KCPSUGIND,2
MADRASFERT,2
KESARENT,2
LUMAXIND,2
LTFOODS,2
SKFINDIA,2
LTF,2
BIRLACOT,2
BROOKS,2
LITL,2
KOLTEPATIL,2
KMSUGAR,2
BLUECHIP,2
BSLIMITED,2
RKDL,2
BLUESTARCO,2
ALIVUS,2
SHYAMTEL,2
SICAGEN,2
PERIATEA,2
RIIL,2
SICAL,2
PARSVNATH,2
KRISHNAENG,2
PDPL,2
PDSL,2
SIGMA,2
BSHSL,2
BPL,2
ALBK,2
KPIL,2
BRIGADE,2
BRITANNIA,2
GDL,2
PERSISTENT,2
KLRF,2
KLGSYSTEL,2
LIKHITHA,2
LGBROS,2
SITASHREE,2
BSELINFRA,2
BVCL,2
RML,2
VARROC,2
SHREEASHTA,2
SIRCA,2
ALKYLAMINE,2
VARDMNPOLY,2
KIRLOSIND,2
BLBLIMITED,2
BLISSGVS,2
SINTEX,2
SHRENIK,2
SIMPLEXINF,2
BTML,2
SHRENUJ,2
PATSPINLTD,2
LAKPRE,2
KIRIINDUS,2
SEPC,2
BHAGYNAGAR,2
AVG,2
OLECTRA,2
OMAXE,2
AUSOMENT,2
NBIFIN,2
NBCC,2
SANGHVIFOR,2
AUTOIND,2
AUTOLITIND,2
AVADHSUGAR,2
VIPIND,2
NATCOPHARM,2
VINYLINDIA,2
OILCOUNTUB,2
ONELIFECAP,2
NAHARPOLY,2
AVTNPL,2
APARINDS,2
WENDT,2
VINATIORGA,2
SATYAMCOMP,2
ANSALAPI,2
SB&TINTL,2
AXITA,2
MUTHOOTFIN,2
NDTV,2
ATUL,2
MURUDCERA,2
NILAINFRA,2
NRAIL,2
NTPC,2
SAFARI,2
NUCLEUS,2
NOESISIND,2
ARSSINFRA,2
ASAHIINDIA,2
ASAL,2
ARCHIDPLY,2
NISSAN,2
ASHOKA,2
SALORAINTL,2
ATNINTER,2
OCL,2
ASIL,2
NEXTMEDIA,2
NEWGEN,2
APOLLOHOSP,2
ASTERDM,2
NESCO,2
VISHNU,2
SANCO,2
ATGL,2
ATLASCYCLE,2
SBBJ,2
RTNPOWER,2
BGRENERGY,2
RPOWER,2
ORIENTLTD,2
MCLEODRUSS,2
SESHAPAPER,2
ANANDRATHI,2
WIPRO,2
MAZDOCK,2
MAXIND,2
MAWANASUG,2
MATRIMONY,2
WOCKPHARMA,2
VHL,2
SGFL,2
SEINVEST,2
MARATHON,2
BECTORFOOD,2
MANINDS,2
SHAKTIPUMP,2
PAEL,2
WORTHPERI,2
MANGALAM,2
BEML,2
BERGEPAINT,2
BFUTILITIE,2
MANAKCOAT,2
MENONBE,2
MGEL,2
ANMOL,2
SCHNEIDER,2
VIKASLIFE,2
ORBITCORP,2
WINSOME,2
ORIENTBANK,2
BAJAJELEC,2
ORIENTBELL,2
BAJFINANCE,2
BALAJITELE,2
MONTECARLO,2
MONSANTO,2
BALAMINES,2
SCI,2
SECURKLOUD,2
MOIL,2
ORIENTELEC,2
MODISONLTD,2
BALLARPUR,2
SDBL,2
MINDACORP,2
SECURCRED,2
MICROTECH,2
VIJAYABANK,2
MHRIL,2
MHLXMIRU,2
URJA,2
SOLARA,2
UNOMINDA,2
TREJHARA,2
SUMEETINDS,2
HTMEDIA,2
DIGJAM,2
HONDAPOWER,2
DISHMAN,2
SUNDRMBRAK,2
DIXON,2
ZENITHEXPO,2
DOLATALGO,2
SUPER,2
ADANIPOWER,2
HIRECT,2
SUPERSPIN,2
DPSCLTD,2
SUPPETRO,2
ZENTEC,2
HINDDORROL,2
DWARKESH,2
SUPREMEIND,2
DYNACONS,2
HILTON,2
HIKAL,2
ZICOM,2
SURYAJYOTI,2
HEROMOTOCO,2
PRATIBHA,2
DHUNINV,2
DCHL,2
TATAMETALI,2
FDC,2
INDLMETER,2
INDIANHUME,2
DCMSHRIRAM,2
DCMSRIND,2
STEL,2
INDIACEM,2
INDHOTEL,2
INDBANK,2
IMPEXFERRO,2
DELPHIFX,2
DELTAMAGNT,2
IL&FSTRANS,2
IITL,2
ZENITHCOMP,2
KANPRPLA,2
TRIGYN,2
PRAKASH,2
SUBROS,2
DHANBANK,2
IFBAGRO,2
IEX,2
IDEA,2
DHFL,2
ADSL,2
AARON,2
ECEIND,2
SURYALAXMI,2
HELIOSMATH,2
GTL,2
TEXRAIL,2
GSS,2
ZODIACLOTH,2
THYROCARE,2
GSCLCEMENT,2
GRWRHITECH,2
GRSE,2
PUNJLLOYD,2
GROBTEA,2
GRINDWELL,2
GREENPOWER,2
ESTER,2
EUROMULTI,2
THERMAX,2
GRASIM,2
TFL,2
GPTINFRA,2
FIEMIND,2
GOODLUCK,2
GOLDTECH,2
EXIDEIND,2
ZOTA,2
GOKULAGRO,2
TGBHOTELS,2
GTNIND,2
ERIS,2
ERAINFRA,2
ELFORGE,2
PRINCEPIPE,2
AARTIDRUGS,2
HDFC,2
GLODYNE,2
RANEHOLDIN,2
RANEENGINE,2
GLORY,2
SWANCORP,2
HATSUN,2
HARRMALAYA,2
PSB,2
TIPSMUSIC,2
GUFICBIO,2
HAL,2
TINPLATE,2
GVPTECH,2
PSL,2
ENERGYDEV,2
SYNCOM,2
ENIL,2
ENTEGRA,2
TAINWALCHM,2
TIJARIA,2
TEMBO,2
ZEEMEDIA,2
DCMFINSERV,2
STEELCAS,2
PLASTIBLEN,2
CIMMCO,2
CINEVISTA,2
UMESLTD,2
PNB,2
CLEDUCATE,2
JKPAPER,2
AHLEAST,2
AHCL,2
UJJIVAN,2
SPCENET,2
SPECIALITY,2
JINDALSTEL,2
JINDALSAW,2
AGRODUTCH,2
CMAHENDRA,2
JIKIND,2
CMICABLES,2
CNOVAPETRO,2
RELAXO,2
JETAIRWAYS,2
COASTCORP,2
JDORGOCHEM,2
COFORGE,2
AGIIL,2
UFO,2
UNICHEMLAB,2
UNIPARTS,2
CONSOFINVT,2
GEOJITFSL,2
CCAVENUE,2
KANANIIND,2
RHIM,2
CDSL,2
KAMATHOTEL,2
RGL,2
CEATLTD,2
RESURGERE,2
KAJARIACER,2
UNIVCABLES,2
JYOTHYLAB,2
JWL,2
NRC,2
UNITY,2
AHLWEST,2
UNITEDBNK,2
RENUKA,2
JTLIND,2
JTEKTINDIA,2
CHEMFALKAL,2
CHESLINTEX,2
TECHM,2
JSWHL,2
AHLUCONT,2
JSWDULUX,2
TATASTEEL,2
COMPUAGE,2
CORALFINAC,2
GANGOTRI,2
GANGESSECU,2
IPCALAB,2
TVSSRICHAK,2
RAINBOWPAP,2
POLYMED,2
YUKEN,2
5PAISA,2
INTENTECH,2
RADIOCITY,2
TVSHLTD,2
INOXWIND,2
CYIENT,2
INNOIND,2
TVSELECT,2
TV18BRDCST,2
PONDYOXIDE,2
INFODRIVE,2
INFINITE,2
TULSI,2
ZYDUSLIFE,2
TBZ,2
TUBEINVEST,2
GKW,2
DBCORP,2
RADIANTCMS,2
UDAICEMENT,2
REDINGTON,2
J&KBANK,2
IZMO,2
JAYAGROGN,2
POCL,2
SREEL,2
JAMNAAUTO,2
REGENCERAM,2
CORDSCABLE,2
UCOBANK,2
RAJESHEXPO,2
UBL,2
CORPBANK,2
IRCTC,2
FAME,2
IVRCLINFRA,2
IVP,2
GARFIBRES,2
ITI,2
ITDC,2
ITC,2
ISMTLTD,2
SRGINFOTEC,2
CREATIVEYE,2
WEBELSOLAR,1
ZYDUSWELL,1
RVNL,1
SABEVENTS,1
ZUARIIND,1
RAMCOCEM,1
WEALTH,1
RPPINFRA,1
WELCORP,1
RAMKY,1
RESPONIND,1
RICOAUTO,1
RELINFRA,1
RELIANCE,1
RMCL,1
ROHITFERRO,1
REDTAPE,1
XTGLOBAL,1
ROHLTD,1
ROLEXRINGS,1
ROLTA,1
ROML,1
ZAGGLE,1
ZEEL,1
RCOM,1
RPEL,1
WPIL,1
RCF,1
WINSOMYARN,1
RBLBANK,1
RAYMONDREL,1
RTNINDIA,1
RASOYPR,1
RANKLIN,1
WILLAMAGOR,1
RANASUG,1
RUCHINFRA,1
WELINV,1
RAMSARUP,1
SADBHIN,1
SHRIPISTON,1
WATERBASE,1
STARCEMENT,1
