signal_date,ticker,entry_date,entry_price,exit_date,exit_price,shares,gross_return_pct,net_return_pct,pnl_inr,buy_prob,meta_prob
2007-02-12,BLUEDART,2007-02-13,487.15,2007-02-21,482.1,2052,-1.037,-1.537,-15366.66,0.7499,0.6834
2007-02-12,APOLLOTYRE,2007-02-13,296.28,2007-02-21,298.84,3375,0.865,0.365,3647.37,0.7445,0.6581
2007-02-12,PRAENG,2007-02-13,258.5,2007-02-21,250.5,3868,-3.095,-3.595,-35944.0,0.4967,0.5808
2007-02-12,HIRECT,2007-02-13,780.9,2007-02-21,808.45,1280,3.528,3.028,30264.0,0.3483,0.7067
2007-02-13,BSL,2007-02-14,25.35,2007-02-22,27.1,39447,6.903,6.403,64032.25,0.5637,0.5357
2007-02-13,HIRECT,2007-02-14,780.0,2007-02-22,805.0,1282,3.205,2.705,27050.0,0.5506,0.6731
2007-02-13,SUPERSPIN,2007-02-14,24.95,2007-02-22,25.95,40080,4.008,3.508,35080.0,0.4531,0.7208
2007-02-14,BLUEDART,2007-02-15,480.67,2007-02-23,481.36,2080,0.143,-0.357,-3571.71,0.8175,0.567
2007-02-14,BSL,2007-02-15,27.7,2007-02-23,25.55,36101,-7.762,-8.262,-82617.15,0.5679,0.5672
2007-02-14,APOLLOTYRE,2007-02-15,300.94,2007-02-23,290.97,3322,-3.313,-3.813,-38117.77,0.5488,0.6282
2007-02-14,JBMA,2007-02-19,62.93,2007-02-27,60.61,15889,-3.698,-4.198,-41978.18,0.4579,0.6556
2007-02-14,SUPRAJIT,2007-02-15,179.0,2007-02-23,179.9,5586,0.503,0.003,27.4,0.3954,0.5419
2007-02-15,HIRECT,2007-02-19,825.0,2007-02-26,806.3,1212,-2.267,-2.767,-27664.4,0.4731,0.6168
2007-02-19,AIAENG,2007-02-20,1251.74,2007-02-27,1208.67,798,-3.441,-3.941,-39374.53,0.432,0.7375
2007-02-20,SHREECEM,2007-02-21,1257.02,2007-02-28,1112.8,795,-11.474,-11.974,-119660.47,0.6294,0.6522
2007-02-20,ARIHANT,2007-02-21,398.3,2007-03-01,346.95,2510,-12.892,-13.392,-133888.5,0.6204,0.7324
2007-02-20,SUPERSPIN,2007-02-21,22.15,2007-02-28,22.7,45146,2.483,1.983,19830.3,0.4706,0.5978
2007-02-21,BALPHARMA,2007-02-22,34.5,2007-03-01,32.25,28985,-6.522,-7.022,-70216.25,0.8986,0.6035
2007-02-21,ATUL,2007-02-22,100.97,2007-03-01,89.94,9904,-10.922,-11.422,-114220.81,0.6605,0.5444
2007-02-21,FDC,2007-02-22,34.05,2007-03-01,33.15,29368,-2.643,-3.143,-31431.2,0.6011,0.5066
2007-02-21,NIFTYBEES,2007-02-22,414.0,2007-03-01,381.44,2415,-7.865,-8.365,-83632.4,0.533,0.6065
2007-02-21,WILLAMAGOR,2007-02-22,47.1,2007-03-01,43.5,21231,-7.643,-8.143,-81431.6,0.4704,0.8708
2007-02-21,DONEAR,2007-02-22,205.9,2007-03-01,168.25,4856,-18.286,-18.786,-187828.4,0.4104,0.618
2007-02-21,AIAENG,2007-02-22,1197.08,2007-03-01,1192.13,835,-0.413,-0.913,-9132.03,0.406,0.7799
2007-02-22,GRASIM,2007-02-23,449.72,2007-03-02,387.25,2223,-13.891,-14.391,-143873.35,0.5735,0.6748
2007-02-22,JUNIORBEES,2007-02-23,72.1,2007-03-02,68.4,13869,-5.132,-5.632,-56315.3,0.5633,0.5248
2007-02-22,ASHOKLEY,2007-02-23,9.7,2007-03-02,9.04,103094,-6.845,-7.345,-73445.08,0.5611,0.5014
2007-02-22,HDFCBANK,2007-02-23,88.61,2007-03-02,84.82,11285,-4.278,-4.778,-47773.43,0.5357,0.6172
2007-02-22,RANEHOLDIN,2007-02-23,170.0,2007-03-02,174.6,5882,2.706,2.206,22057.2,0.4382,0.5141
2007-02-22,IOB,2007-02-23,94.61,2007-03-02,91.25,10570,-3.551,-4.051,-40513.25,0.433,0.7134
2007-02-23,PARACABLES,2007-02-26,39.05,2007-03-05,35.8,25608,-8.323,-8.823,-88226.0,0.8754,0.6195
2007-02-23,DICIND,2007-02-26,171.0,2007-03-05,162.45,5847,-5.0,-5.5,-54991.85,0.7883,0.529
2007-02-23,WENDT,2007-02-26,697.0,2007-03-05,660.0,1434,-5.308,-5.808,-58058.0,0.7467,0.6067
2007-02-23,ARIHANT,2007-02-26,367.5,2007-03-06,345.0,2721,-6.122,-6.622,-66222.5,0.7379,0.804
2007-02-23,AMBICAAGAR,2007-02-26,8.7,2007-03-05,9.1,114942,4.598,4.098,40976.8,0.7292,0.5874
2007-02-23,TCI,2007-02-26,55.0,2007-03-05,61.0,18181,10.909,10.409,104086.0,0.6625,0.6619
2007-02-26,TAINWALCHM,2007-02-27,12.5,2007-03-06,10.3,80000,-17.6,-18.1,-181000.0,0.7022,0.7945
2007-02-26,M&MFIN,2007-02-27,216.91,2007-03-06,219.55,4610,1.215,0.715,7145.28,0.5197,0.5384
2007-02-26,JINDRILL,2007-02-27,460.0,2007-03-06,415.0,2173,-9.783,-10.283,-102785.0,0.4774,0.5273
2007-02-26,SUPREMEIND,2007-02-27,29.52,2007-03-06,26.25,33874,-11.081,-11.581,-115802.7,0.4461,0.6197
2007-02-26,ARIHANT,2007-02-28,368.0,2007-03-07,337.0,2717,-8.424,-8.924,-89227.0,0.3884,0.8333
2007-02-27,ESABINDIA,2007-02-28,300.85,2007-03-07,318.65,3323,5.917,5.417,54149.4,0.6839,0.7843
2007-02-27,TAINWALCHM,2007-02-28,11.0,2007-03-07,10.25,90909,-6.818,-7.318,-73181.75,0.6182,0.5983
2007-02-28,BANKBEES,2007-03-01,537.0,2007-03-09,525.0,1862,-2.235,-2.735,-27344.0,0.9093,0.628
2007-02-28,ARIHANT,2007-03-01,335.55,2007-03-08,320.65,2980,-4.44,-4.94,-49402.0,0.8166,0.6105
2007-02-28,CHAMBLFERT,2007-03-01,22.88,2007-03-08,21.59,43714,-5.634,-6.134,-61337.9,0.7946,0.5192
2007-02-28,TAINWALCHM,2007-03-01,11.4,2007-03-08,11.4,87719,0.0,-0.5,-5000.0,0.5767,0.6594
2007-02-28,GOLDTECH,2007-03-01,63.5,2007-03-08,66.95,15748,5.433,4.933,49330.6,0.4977,0.9123
2007-03-01,SHREECEM,2007-03-02,1096.35,2007-03-09,969.0,912,-11.616,-12.116,-121149.05,0.8536,0.6476
2007-03-01,BANKBEES,2007-03-05,515.0,2007-03-12,521.0,1941,1.165,0.665,6646.0,0.8091,0.7803
2007-03-01,VSTIND,2007-03-02,374.0,2007-03-09,331.0,2673,-11.497,-11.997,-119939.0,0.6997,0.6232
2007-03-01,DONEAR,2007-03-02,170.0,2007-03-09,177.4,5882,4.353,3.853,38526.8,0.3581,0.8763
2007-03-02,WHEELS,2007-03-05,226.0,2007-03-13,230.0,4424,1.77,1.27,12696.0,0.8361,0.8292
2007-03-02,TAINWALCHM,2007-03-05,10.6,2007-03-12,11.25,94339,6.132,5.632,56320.35,0.7221,0.6703
2007-03-02,GNFC,2007-03-05,98.4,2007-03-12,94.2,10162,-4.268,-4.768,-47680.4,0.4753,0.532
2007-03-02,PRAENG,2007-03-05,185.0,2007-03-12,196.4,5405,6.162,5.662,56617.0,0.4565,0.7378
2007-03-02,JINDRILL,2007-03-05,426.0,2007-03-12,407.2,2347,-4.413,-4.913,-49123.6,0.4323,0.7423
2007-03-05,EICHERMOT,2007-03-06,290.86,2007-03-13,319.17,3438,9.735,9.235,92345.65,0.4868,0.5523
2007-03-06,RADICO,2007-03-07,140.55,2007-03-14,129.96,7115,-7.531,-8.031,-80309.78,0.6359,0.688
2007-03-06,NIPPOBATRY,2007-03-07,307.1,2007-03-14,307.55,3256,0.147,-0.353,-3534.8,0.5743,0.5158
2007-03-07,SHREECEM,2007-03-08,1096.35,2007-03-15,875.33,912,-20.159,-20.659,-206569.25,0.7625,0.7935
2007-03-07,TANLA,2007-03-08,282.0,2007-03-15,299.25,3546,6.117,5.617,56168.5,0.7478,0.8015
2007-03-07,TORNTPHARM,2007-03-08,37.36,2007-03-15,37.7,26766,0.921,0.421,4210.25,0.7217,0.5625
2007-03-07,INDOCO,2007-03-08,271.1,2007-03-15,281.0,3688,3.652,3.152,31511.2,0.5583,0.7262
2007-03-07,IVC,2007-03-08,142.0,2007-03-15,144.1,7042,1.479,0.979,9788.2,0.532,0.533
2007-03-07,PARACABLES,2007-03-08,32.15,2007-03-15,33.5,31104,4.199,3.699,36990.4,0.52,0.7354
2007-03-07,KKCL,2007-03-08,199.0,2007-03-15,194.85,5025,-2.085,-2.585,-25853.75,0.5044,0.8596
2007-03-08,NILKAMAL,2007-03-09,150.0,2007-03-16,145.05,6666,-3.3,-3.8,-37996.7,0.7839,0.6138
2007-03-08,TANLA,2007-03-09,276.4,2007-03-16,305.25,3617,10.438,9.938,99350.45,0.7167,0.7915
2007-03-08,IVC,2007-03-09,139.0,2007-03-16,139.0,7194,0.0,-0.5,-5000.0,0.4671,0.5518
2007-03-08,KAJARIACER,2007-03-09,16.43,2007-03-16,15.67,60847,-4.638,-5.138,-51376.25,0.4614,0.5007
2007-03-09,TANLA,2007-03-12,270.9,2007-03-19,311.35,3691,14.932,14.432,144300.95,0.6299,0.7903
2007-03-09,GESHIP,2007-03-12,137.08,2007-03-19,133.75,7295,-2.423,-2.923,-29233.83,0.5846,0.689
2007-03-09,SAGCEM,2007-03-12,120.0,2007-03-19,123.75,8333,3.125,2.625,26248.75,0.563,0.6417
2007-03-09,IVC,2007-03-12,136.65,2007-03-19,137.55,7317,0.659,0.159,1585.3,0.4606,0.5571
2007-03-09,CRISIL,2007-03-12,196.11,2007-03-19,181.24,5099,-7.582,-8.082,-80816.95,0.4491,0.9145
2007-03-12,ITC,2007-03-13,32.12,2007-03-20,30.36,31134,-5.47,-5.97,-59696.99,0.6014,0.6081
2007-03-12,JBCHEPHARM,2007-03-13,51.07,2007-03-20,50.46,19581,-1.195,-1.695,-16949.31,0.5406,0.8421
2007-03-12,RUCHIRA,2007-03-13,13.75,2007-03-20,13.3,72727,-3.273,-3.773,-37727.15,0.5227,0.5256
2007-03-13,TANLA,2007-03-14,281.9,2007-03-21,323.95,3547,14.917,14.417,144151.35,0.9118,0.6874
2007-03-13,NIPPOBATRY,2007-03-14,307.0,2007-03-22,337.9,3257,10.065,9.565,95641.3,0.6093,0.5084
2007-03-13,JBCHEPHARM,2007-03-14,50.1,2007-03-21,50.97,19958,1.731,1.231,12307.54,0.5341,0.8018
2007-03-13,RAMCOSYS,2007-03-14,125.3,2007-03-21,133.55,7980,6.584,6.084,60835.0,0.4963,0.5453
2007-03-14,ANANTRAJ,2007-03-15,1056.73,2007-03-22,1012.98,946,-4.14,-4.64,-46384.99,0.8215,0.5055
2007-03-14,RICOAUTO,2007-03-15,51.65,2007-03-22,48.7,19361,-5.712,-6.212,-62114.95,0.5196,0.523
2007-03-14,PRAENG,2007-03-15,239.6,2007-03-22,218.05,4173,-8.994,-9.494,-94928.15,0.5124,0.8003
2007-03-15,TANLA,2007-03-16,305.25,2007-03-23,335.05,3276,9.762,9.262,92624.8,0.9011,0.6568
2007-03-15,PRAENG,2007-03-16,237.0,2007-03-23,218.45,4219,-7.827,-8.327,-83262.45,0.7677,0.7972
2007-03-15,EIMCOELECO,2007-03-16,222.0,2007-03-23,241.4,4504,8.739,8.239,82377.6,0.5709,0.6628
2007-03-15,SAGCEM,2007-03-16,129.65,2007-03-23,128.7,7713,-0.733,-1.233,-12327.35,0.3829,0.6824
2007-03-16,SUPRAJIT,2007-03-19,168.0,2007-03-26,164.55,5952,-2.054,-2.554,-25534.4,0.8219,0.5769
2007-03-16,PFIZER,2007-03-19,483.89,2007-03-26,522.57,2066,7.993,7.493,74907.9,0.7374,0.5251
2007-03-16,TANLA,2007-03-19,311.35,2007-03-26,341.75,3211,9.764,9.264,92614.4,0.6592,0.9203
2007-03-16,ANANTRAJ,2007-03-19,960.84,2007-03-26,1061.02,1040,10.426,9.926,99186.59,0.5148,0.5308
2007-03-16,IVC,2007-03-19,142.2,2007-03-26,128.25,7032,-9.81,-10.31,-103096.4,0.4733,0.8028
2007-03-16,SHANTIGEAR,2007-03-19,60.0,2007-03-26,60.15,16666,0.25,-0.25,-2500.1,0.4727,0.6225
2007-03-16,SUDARSCHEM,2007-03-19,106.75,2007-03-26,105.8,9367,-0.89,-1.39,-13898.65,0.4465,0.6807
2007-03-19,SANGHVIMOV,2007-03-20,650.05,2007-03-28,639.75,1538,-1.584,-2.084,-20841.4,0.7515,0.6404
2007-03-19,ANANTRAJ,2007-03-20,968.83,2007-03-28,1059.97,1032,9.407,8.907,89056.79,0.7463,0.5944
2007-03-19,EXIDEIND,2007-03-20,37.94,2007-03-28,37.5,26354,-1.163,-1.663,-16627.64,0.7323,0.502
2007-03-19,TANLA,2007-03-20,317.6,2007-03-28,342.75,3148,7.919,7.419,74172.2,0.5897,0.9431
2007-03-19,SHREYANIND,2007-03-20,25.2,2007-03-30,27.25,39682,8.135,7.635,76348.1,0.4961,0.6322
2007-03-19,JBCHEPHARM,2007-03-20,51.58,2007-03-28,49.14,19386,-4.732,-5.232,-52321.26,0.48,0.8261
2007-03-19,GSFC,2007-03-20,167.5,2007-03-28,169.8,5970,1.373,0.873,8731.0,0.3476,0.6528
2007-03-20,JBCHEPHARM,2007-03-21,50.39,2007-03-29,49.59,19843,-1.593,-2.093,-20933.16,0.679,0.65
2007-03-20,TANLA,2007-03-21,323.95,2007-03-29,341.75,3086,5.495,4.995,49930.8,0.6102,0.9324
2007-03-20,EXIDEIND,2007-03-21,40.59,2007-03-29,37.9,24635,-6.63,-7.13,-71302.1,0.5625,0.5367
2007-03-20,INGERRAND,2007-03-21,290.0,2007-03-29,284.55,3448,-1.879,-2.379,-23791.6,0.5077,0.5631
2007-03-21,HTMEDIA,2007-03-22,190.0,2007-03-30,178.2,5263,-6.211,-6.711,-67103.4,0.8567,0.7488
2007-03-21,JBCHEPHARM,2007-03-22,51.36,2007-03-30,50.49,19471,-1.689,-2.189,-21885.21,0.5499,0.743
2007-03-22,FSL,2007-03-23,64.28,2007-04-02,57.85,15557,-10.0,-10.5,-104996.12,0.7804,0.9169
2007-03-22,HTMEDIA,2007-03-23,192.0,2007-04-02,172.55,5208,-10.13,-10.63,-106295.6,0.7114,0.7029
2007-03-22,INDIANCARD,2007-03-23,165.6,2007-04-02,159.55,6038,-3.653,-4.153,-41529.9,0.5071,0.6835
2007-03-22,TANLA,2007-03-23,335.0,2007-04-02,354.45,2985,5.806,5.306,53058.25,0.4001,0.914
2007-03-23,ASTRAMICRO,2007-03-26,137.9,2007-04-03,132.65,7251,-3.807,-4.307,-43067.75,0.4589,0.5284
2007-03-26,HTMEDIA,2007-03-28,183.1,2007-04-04,180.9,5461,-1.202,-1.702,-17014.2,0.9277,0.5272
2007-03-26,MANINDS,2007-03-28,179.0,2007-04-04,192.85,5586,7.737,7.237,72366.1,0.733,0.8456
2007-03-26,ZENITHEXPO,2007-03-28,65.9,2007-04-10,62.5,15174,-5.159,-5.659,-56591.6,0.5134,0.8321
2007-03-26,SUVEN,2007-03-28,39.0,2007-04-04,37.9,25641,-2.821,-3.321,-33205.1,0.5126,0.6476
2007-03-28,HTMEDIA,2007-03-29,181.0,2007-04-05,180.95,5524,-0.028,-0.528,-5276.2,0.8722,0.5286
2007-03-28,SANGHVIMOV,2007-03-29,625.0,2007-04-05,641.55,1600,2.648,2.148,21480.0,0.8718,0.6084
